iter	Passed	Remaining
198	1387	5584
199	1394	5577
200	1401	5571
201	1408	5564
202	1415	5558
203	1422	5551
204	1429	5542
205	1436	5535
206	1443	5529
207	1450	5522
208	1457	5514
209	1464	5507
210	1470	5500
211	1477	5492
212	1484	5485
213	1492	5481
214	1499	5473
215	1506	5467
216	1512	5458
217	1519	5450
218	1526	5442
219	1533	5435
220	1540	5429
221	1547	5421
222	1553	5413
223	1560	5406
224	1567	5399
225	1574	5393
226	1581	5385
227	1588	5379
228	1595	5371
229	1602	5363
230	1608	5356
231	1615	5349
232	1622	5342
233	1629	5334
234	1634	5319
235	1640	5312
236	1647	5304
237	1654	5296
238	1661	5289
239	1667	5281
240	1674	5273
241	1680	5264
242	1687	5257
243	1694	5250
244	1701	5241
245	1707	5235
246	1715	5228
247	1722	5222
248	1729	5215
249	1735	5207
250	1742	5200
251	1749	5193
252	1756	5185
253	1763	5178
254	1770	5172
255	1777	5164
256	1784	5159
257	1791	5152
258	1798	5144
259	1805	5137
260	1813	5135
261	1822	5132
262	1829	5127
263	1837	5123
264	1845	5118
265	1853	5114
266	1862	5113
267	1869	5105
268	1876	5098
269	1882	5089
270	1889	5082
271	1896	5075
272	1900	5061
273	1908	5056
274	1915	5048
275	1922	5041
276	1928	5034
277	1935	5026
278	1942	5019
279	1949	5011
280	1955	5004
281	1962	4997
282	1970	4991
283	1976	4982
284	1982	4974
285	1989	4967
286	1996	4960
287	2003	4954
288	2011	4947
289	2018	4941
290	2025	4934
291	2032	4927
292	2039	4920
293	2046	4913
294	2052	4906
295	2059	4898
296	2066	4890
297	2073	4884
298	2080	4876
299	2087	4869
300	2093	4862
301	2100	4855
302	2109	4851
303	2115	4843
304	2122	4836
305	2129	4829
306	2136	4821
307	2142	4814
308	2149	4807
309	2156	4800
310	2163	4793
311	2170	4786
312	2177	4778
313	2183	4771
314	2190	4763
315	2197	4756
316	2205	4750
317	2211	4743
318	2219	4737
319	2225	4730
320	2232	4722
321	2239	4715
322	2246	4707
323	2253	4701
324	2260	4694
325	2267	4688
326	2274	4681
327	2281	4673
328	2288	4666
329	2295	4659
330	2301	4652
331	2309	4646
332	2315	4638
333	2323	4632
334	2329	4625
335	2336	4617
336	2343	4610
337	2350	4602
338	2357	4596
339	2364	4589
340	2371	4582
341	2378	4575
342	2385	4568
343	2391	4561
344	2398	4553
345	2405	4547
346	2412	4539
347	2419	4532
348	2425	4524
349	2432	4517
350	2439	4510
351	2446	4503
352	2453	4496
353	2460	4490
354	2467	4483
355	2474	4475
356	2481	4468
357	2487	4461
358	2494	4454
359	2501	4447
360	2508	4440
361	2515	4433
362	2522	4426
363	2529	4419
364	2536	4412
365	2543	4405
366	2549	4397
367	2556	4390
368	2563	4383
369	2570	4376
370	2577	4369
371	2584	4363
372	2591	4356
373	2598	4349
374	2605	4342
375	2612	4335
376	2619	4328
377	2625	4320
378	2633	4314
379	2640	4307
380	2646	4300
381	2653	4293
382	2660	4286
383	2667	4279
384	2674	4271
385	2680	4264
386	2688	4257
387	2694	4250
388	2701	4243
389	2708	4236
390	2715	4229
391	2722	4223
392	2729	4216
393	2736	4209
394	2743	4201
395	2750	4194
396	2757	4187
397	2763	4180
398	2770	4173
399	2777	4166
400	2785	4160
401	2791	4152
402	2798	4145
403	2805	4138
404	2811	4131
405	2819	4124
406	2825	4117
407	2832	4110
408	2839	4103
409	2846	4096
410	2853	4089
411	2860	4082
412	2867	4075
413	2874	4068
414	2881	4061
415	2887	4054
