molecule_chembl_id,canonical_smiles,logPotency
CHEMBL1079460,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,4.873823119256805
CHEMBL275938,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,6.873868592738016
CHEMBL338790,Nc1ccc2c3c(cccc13)C(=O)NC2=O,5.073822246012611
CHEMBL1383622,CN(C)c1ccc(C(CNS(=O)(=O)c2ccc(F)cc2)c2c[nH]c3ccccc23)cc1,4.250000251143582
CHEMBL1413838,CCCCOc1ccc(C(=O)N/C(=C/C=C/c2ccccc2)C(=O)NCCO)cc1,4.100000128334196
CHEMBL3192682,CCN(CC)CCNC(=O)CCCCn1c(=S)[nH]c2c([nH]c3ccc(OC)cc32)c1=O,4.550000451689026
CHEMBL1524347,Cc1cccc(NC(=O)c2c(NC(=O)C(F)(F)F)sc3c2CCCCC3)c1,4.100000128334196
CHEMBL1717481,COc1ccc(OC)c(/C=C/c2ccnc3ccccc23)c1,4.40000018605658
CHEMBL1558624,CCCC(=O)Oc1c(Sc2ccc(C)cc2)c(C)nn1-c1ccccc1,4.899998417198648
CHEMBL1729667,COc1ccc(NC(=O)CN(C)C(=O)c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)cc1,4.40000018605658
CHEMBL1271916,COc1cccc(NC(=O)Nc2cccn(Cc3ccc(C)cc3)c2=O)c1,4.650000220873455
CHEMBL1586088,Cc1ccc(Nc2nc(-c3sc(C)nc3C)cs2)cc1,4.749999855918706
CHEMBL1547237,COc1cccc(OCc2cc(C(=O)N(C)CCOc3ccc(C)cc3)no2)c1,4.100000128334196
CHEMBL1390703,Cc1cc2nc(-c3ccc(SCc4ccc(C(=O)O)cc4)nc3)[nH]c2cc1C,4.300000202445418
CHEMBL1976649,COc1ccccc1N1CCN(/N=C/c2ccc(Cl)c([N+](=O)[O-])c2)CC1,5.399996913372259
CHEMBL1608855,CCOC(=O)c1cc(C#N)c(SCC(N)=O)nc1O,4.100000128334196
CHEMBL1897987,NC(=O)C1C(=O)c2ccccc2C1(C[N+](=O)[O-])c1ccccc1,4.349999603463148
CHEMBL1423134,CC(C)CC1Nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cc2NC1=O,6.15002808767115
CHEMBL1437387,COc1ccc(Cl)cc1NC(=O)c1c(NCc2sccc2C)sc2c1CCCC2,4.100000128334196
CHEMBL1310644,Cc1cc(N2CCOCC2)ccc1/C=C\[N+](=O)[O-],4.100000128334196
