molecule_chembl_id,canonical_smiles,pIC50
CHEMBL1698182,CC1Cc2ccccc2N1C(=O)COC(=O)c1ccc(N(C)C)cc1,4.800000874803203
CHEMBL269755,Nc1cccc(O)c1,4.450000476425332
CHEMBL1896827,Clc1cccc(-c2nc3ccc(Cl)cn3c2Cc2ccsc2)c1,4.59999938302362
CHEMBL1467826,CCC(C)(C)n1nnnc1C(c1cc(OC)ccc1OC)N1CCN(Cc2ccccc2)CC1,4.450000476425332
CHEMBL1408761,COc1cc2c(cc1OC)CN(CC(=O)Nc1ccc(F)cc1)C(C(=O)O)C2,4.849999245077863
CHEMBL1533514,Cc1ccc2cc3cc(C(=O)N4CC(C)CC(C)C4)oc3nc2c1,4.650000220873455
CHEMBL1487159,CC(=O)c1cc(CC=C(C)C)c(O)cc1O,4.450000476425332
CHEMBL1546308,CCOC(=O)C1CCN(C(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)CC1,5.699991797446187
CHEMBL1339351,C=CCN1C(=O)NC(=O)/C(=C\NNC(=O)c2ccncc2)C1=O,5.199998172182031
CHEMBL1581746,COc1ccc(/C=C2/C(=O)N(Cc3ccco3)C(=O)N(C(C)C)C2=O)cc1,4.450000476425332
CHEMBL1398626,Cc1nn2c(=O)cc(COc3ccc(/C=C(\C#N)C(=O)Nc4ccc(F)cc4)cc3)nc2s1,5.299997602857746
CHEMBL77552,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O,4.700000503883016
CHEMBL1525804,CN(C)c1ccc(C(=O)C(O)c2ccccc2)cc1,4.650000220873455
CHEMBL1496632,O=C(COC(=O)c1cc(NS(=O)(=O)c2cccs2)ccc1O)Nc1ccccc1,4.700000503883016
CHEMBL1572382,Cc1ccc(C)c(-c2nnc(NC(=O)COc3ccccc3)o2)c1,4.59999938302362
CHEMBL1369124,CCCOc1ccc(N2C(=O)CC(N(O)c3ccccc3)C2=O)cc1,4.949999401714238
CHEMBL1698157,CC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)cc1,4.949999401714238
CHEMBL1461176,CN(C)/C=C/c1oc2ccc(O)cc2c1[N+](=O)[O-],5.499996931948306
CHEMBL1336401,CC(=O)c1c(C)nc(S)c(C#N)c1-c1ccc(F)cc1,4.849999245077863
CHEMBL1575178,COc1cccc(CN2CC(C(=O)N3CCN(c4ccc(Cl)cc4)CC3)CCC2=O)c1,4.650000220873455
CHEMBL1512924,Cc1c(CCC(=O)NC2CC2)c(=O)oc2c(C)c(O)ccc12,4.450000476425332
CHEMBL1530459,Cc1cccc(N2C(=O)/C(=C/c3ccc(N4CCN(C)CC4)o3)C(=O)NC2=S)c1C,4.749999855918706
CHEMBL1581797,Cn1cc(Cl)c(C(=O)Nc2nc3ccc([N+](=O)[O-])cc3s2)n1,5.0999990348465305
CHEMBL1526526,O=S(=O)(NCc1cc(-c2ccccc2Cl)no1)c1ccc(Cl)cc1,4.450000476425332
CHEMBL3191605,Cc1[nH]c2ccccc2c1/C=N/NC(=O)CCC(=O)NCc1ccccc1,4.650000220873455
CHEMBL1896896,COc1cccc(-c2cccc(-c3nc(C(=O)NCc4ccc5c(c4)OCO5)cc4c3[C@H](CCO)N([S+]([O-])C(C)(C)C)C4)c2)c1,4.800000874803203
CHEMBL2134486,O=C(Nc1ccc2c(c1)OCCO2)C1c2ccccc2OCC(=O)N1Cc1ccccn1,4.550000451689026
CHEMBL1302748,COc1cc(C2Nc3cccc4cccc(c34)N2)ccc1O,4.949999401714238
CHEMBL1405933,CCc1ccc(NC(=O)CCc2nnc3ccc(N4CCC5(CC4)OCCO5)nn23)cc1,5.399996913372259
CHEMBL1318817,COc1cc(N=c2ssnc2Cl)c(OC)cc1Cl,4.800000874803203
CHEMBL1594229,O=C(Nc1cc([N+](=O)[O-])ccc1N1CCCC1)c1ccccc1,5.2500010234416505
CHEMBL1500677,CCC(c1nnnn1Cc1ccc(OC)cc1)N1CCN(c2ccc(OC)cc2)CC1.Cl,4.450000476425332
CHEMBL1578582,N#Cc1sc(C(N)=O)c(-c2ccccc2)c1-c1ccccc1,4.650000220873455
CHEMBL1350887,Cc1nnc2sc(-c3ccc(NC(=O)c4ccc(-c5ccc(Cl)cc5Cl)o4)cc3)nn12,5.0
CHEMBL1418282,O=S(=O)(NCCSc1nc2ccccc2o1)c1ccccc1,4.550000451689026
CHEMBL1476011,O=C(CSc1nc2c(cnn2-c2ccc(F)cc2)c(=O)[nH]1)Nc1ccc(Br)cc1,5.0999990348465305
CHEMBL1484457,Cc1ccccc1-n1nc2c(c1NC(=O)c1cc3ccccc3oc1=O)CS(=O)(=O)C2,4.450000476425332
