iter	Passed	Remaining
582	2996	2143
583	3001	2137
584	3006	2132
585	3010	2127
586	3015	2121
587	3020	2116
588	3025	2111
589	3030	2105
590	3035	2100
591	3040	2095
592	3045	2090
593	3050	2085
594	3055	2079
595	3060	2074
596	3065	2069
597	3070	2064
598	3075	2059
599	3080	2053
600	3085	2048
601	3090	2043
602	3095	2038
603	3101	2033
604	3106	2028
605	3111	2023
606	3117	2018
607	3122	2013
608	3127	2008
609	3133	2003
610	3138	1998
611	3143	1992
612	3148	1987
613	3153	1982
614	3159	1977
615	3164	1972
616	3169	1967
617	3174	1962
618	3179	1957
619	3185	1952
620	3191	1947
621	3196	1942
622	3201	1937
623	3207	1932
624	3212	1927
625	3218	1922
626	3223	1917
627	3228	1912
628	3233	1907
629	3238	1901
630	3243	1896
631	3248	1891
632	3253	1886
633	3259	1881
634	3264	1876
635	3269	1871
636	3274	1865
637	3279	1860
638	3284	1855
639	3289	1850
640	3294	1845
641	3299	1840
642	3304	1834
643	3310	1830
644	3315	1824
645	3320	1819
646	3325	1814
647	3330	1809
648	3336	1804
649	3340	1798
650	3345	1793
651	3350	1788
652	3356	1783
653	3361	1778
654	3366	1773
655	3371	1767
656	3376	1762
657	3381	1757
658	3386	1752
659	3391	1747
660	3396	1741
661	3401	1736
662	3406	1731
663	3411	1726
664	3416	1721
665	3421	1715
666	3426	1710
667	3431	1705
668	3437	1700
669	3442	1695
670	3447	1690
671	3452	1685
672	3457	1679
673	3462	1674
674	3467	1669
675	3472	1664
676	3476	1658
677	3482	1653
678	3487	1648
679	3492	1643
680	3497	1638
681	3502	1632
682	3507	1627
683	3511	1622
684	3517	1617
685	3523	1612
686	3528	1607
687	3533	1602
688	3538	1597
689	3543	1592
690	3549	1587
691	3554	1581
692	3559	1576
693	3564	1571
694	3569	1566
695	3575	1561
696	3579	1556
697	3584	1551
698	3590	1546
699	3595	1540
700	3600	1535
701	3605	1530
702	3610	1525
703	3616	1520
704	3621	1515
705	3625	1509
706	3631	1504
707	3636	1499
708	3641	1494
709	3646	1489
710	3651	1484
711	3656	1479
712	3661	1473
713	3666	1468
714	3672	1463
715	3677	1458
716	3681	1453
717	3687	1448
718	3692	1443
719	3697	1437
720	3702	1432
721	3707	1427
722	3712	1422
723	3717	1417
724	3722	1411
725	3727	1406
726	3732	1401
727	3737	1396
728	3742	1391
729	3747	1386
730	3753	1381
731	3758	1376
732	3763	1371
733	3769	1365
734	3774	1360
735	3779	1355
736	3784	1350
737	3789	1345
738	3793	1339
739	3799	1334
740	3803	1329
741	3809	1324
742	3814	1319
743	3819	1314
744	3824	1308
745	3828	1303
746	3834	1298
747	3839	1293
748	3844	1288
749	3850	1283
750	3855	1278
751	3860	1273
752	3865	1268
753	3871	1262
754	3875	1257
755	3881	1252
756	3885	1247
757	3890	1242
758	3896	1237
759	3900	1231
760	3905	1226
761	3910	1221
762	3916	1216
763	3921	1211
764	3926	1206
765	3931	1201
766	3936	1195
767	3941	1190
768	3947	1185
769	3951	1180
770	3956	1175
771	3962	1170
772	3967	1164
773	3972	1159
774	3976	1154
775	3982	1149
776	3987	1144
777	3992	1139
778	3997	1134
779	4002	1128
780	4006	1123
781	4011	1118
782	4016	1113
783	4021	1108
784	4026	1102
785	4031	1097
786	4036	1092
787	4042	1087
788	4047	1082
789	4051	1077
790	4057	1071
791	4061	1066
792	4066	1061
793	4071	1056
794	4076	1051
795	4081	1045
796	4086	1040
797	4091	1035
798	4096	1030
799	4101	1025
800	4106	1020
801	4111	1015
802	4116	1009
803	4121	1004
804	4126	999
805	4131	994
806	4137	989
807	4142	984
808	4147	979
809	4153	974
810	4158	969
811	4164	964
812	4169	958
813	4174	953
814	4180	948
815	4185	943
816	4190	938
817	4196	933
818	4201	928
819	4207	923
820	4213	918
821	4218	913
822	4237	911
823	4246	907
824	4252	902
825	4259	897
826	4265	892
827	4270	887
828	4276	882
829	4282	877
830	4287	871
831	4292	866
832	4298	861
833	4303	856
834	4308	851
835	4314	846
836	4319	841
837	4324	836
838	4330	830
839	4335	825
840	4341	820
841	4346	815
842	4352	810
843	4357	805
844	4362	800
845	4367	795
846	4372	789
847	4377	784
848	4382	779
849	4386	774
850	4391	768
851	4396	763
852	4401	758
853	4406	753
854	4411	748
855	4416	742
856	4421	737
857	4426	732
858	4431	727
859	4436	722
860	4441	716
861	4446	711
862	4451	706
863	4455	701
864	4461	696
865	4468	691
866	4474	686
867	4480	681
868	4485	676
869	4514	674
870	4522	669
871	4528	664
872	4534	659
873	4540	654
874	4545	649
875	4551	644
876	4556	639
877	4561	633
878	4567	628
879	4572	623
880	4578	618
881	4583	613
882	4588	607
883	4593	602
884	4598	597
885	4603	592
886	4608	587
887	4614	581
888	4619	576
889	4624	571
890	4630	566
891	4635	561
892	4640	556
893	4645	550
894	4651	545
895	4656	540
896	4662	535
897	4667	530
898	4672	524
899	4677	519
900	4682	514
901	4687	509
902	4693	504
903	4698	498
904	4703	493
905	4708	488
906	4713	483
907	4718	478
908	4723	472
909	4728	467
910	4733	462
911	4738	457
912	4744	452
913	4749	446
914	4753	441
915	4759	436
916	4764	431
917	4769	426
918	4774	420
919	4779	415
920	4784	410
921	4789	405
922	4794	400
923	4799	394
924	4804	389
925	4810	384
926	4815	379
927	4822	374
928	4827	368
929	4832	363
930	4837	358
931	4842	353
932	4847	348
933	4852	342
934	4856	337
935	4862	332
936	4866	327
937	4871	321
938	4876	316
939	4881	311
940	4885	306
941	4890	301
942	4895	295
943	4900	290
944	4905	285
945	4910	280
946	4914	275
947	4919	269
948	4924	264
949	4929	259
950	4934	254
951	4938	249
952	4943	243
953	4948	238
954	4953	233
955	4958	228
956	4963	223
957	4968	217
958	4972	212
959	4977	207
960	4982	202
961	4987	197
962	4992	191
963	4997	186
964	5001	181
965	5006	176
966	5011	171
967	5016	165
968	5021	160
969	5027	155
970	5032	150
971	5037	145
972	5043	139
973	5048	134
974	5053	129
975	5058	124
976	5063	119
977	5068	114
978	5073	108
979	5078	103
980	5083	98
981	5088	93
982	5093	88
983	5099	82
984	5104	77
985	5110	72
986	5118	67
987	5124	62
988	5129	57
989	5134	51
990	5140	46
991	5145	41
992	5153	36
993	5159	31
994	5166	25
995	5173	20
996	5180	15
997	5185	10
998	5190	5
999	5195	0
